gene,log2FC,pval,padj
ENSG00000080824.18,0.39881193743271304,0.0003103885040179391,3.565743134158084
ENSG00000065308.4,0.38899515060700596,0.00031131208290833564,3.5763532084509597
ENSG00000227115.7,1.3559861401468198,0.0003123665002897887,3.5884663553290927
ENSG00000112242.14,0.41282418836580526,0.0003178401167455024,3.651347261172331
ENSG00000138764.14,-0.4886296316542462,0.00031878889484071327,3.662246823930114
ENSG00000149428.18,0.348491677415117,0.0003343223316522382,3.8406949460209123
ENSG00000283856.1,0.5562428679319691,0.00034109188804165515,3.9184636098225343
ENSG00000115758.12,0.6200767113696264,0.0003492105347398659,4.011730623091579
ENSG00000073969.18,0.3952430742957578,0.0003546797875939879,4.074561399879733
ENSG00000136883.14,-0.7225599859864706,0.00035958207052887565,4.1308788262357234
ENSG00000066279.17,0.4678859555148538,0.00037264323482579984,4.280925481678788
ENSG00000172183.14,0.4913884586599151,0.0003736792482817155,4.292827204260348
ENSG00000171234.13,-0.6576911296658308,0.0003757914261104869,4.317091903157274
ENSG00000166226.12,0.5161610614136003,0.0003772353144189315,4.333679292044685
ENSG00000171431.3,0.4405828246067953,0.0003826201651584799,4.395540457340617
ENSG00000100219.16,0.4780046431242635,0.0004104498162582527,4.715247489174807
ENSG00000156587.15,0.9682892368658584,0.00041134124188006065,4.725488186718136
ENSG00000023909.9,-0.460992553677928,0.00041347919890809135,4.7500490370561534
ENSG00000173597.8,-0.4512288262729438,0.0004245047819432085,4.8767109349635795
ENSG00000131482.9,-1.2505312938861035,0.0004278534551854551,4.915180493170508
ENSG00000135220.10,-0.5009592582983702,0.00043184350640689147,4.96101820160237
ENSG00000284681.2,0.7060361730982594,0.00043923662960428485,5.045950400894024
ENSG00000053254.15,-0.3460032811469711,0.00044074643367214756,5.063295030025631
ENSG00000230590.9,-0.1737864551455397,0.0004411772756081164,5.068244542186042
ENSG00000111879.18,-1.0650102395432746,0.00044977057987482605,5.166964421602001
ENSG00000167107.12,-0.6315544222120044,0.0004533288087383312,5.207841354785949
ENSG00000164032.11,0.478828820418737,0.0004562141782486809,5.240988479720846
ENSG00000100911.15,0.5630374210404394,0.00045947425274217726,5.278440215502132
ENSG00000263155.5,-0.39801829835350944,0.0004618651813476908,5.305907203322272
ENSG00000270792.5,0.3313383984660554,0.00046374106291505824,5.327457330768189
ENSG00000134480.14,-0.24598423904352984,0.0004699551653413167,5.398844939441046
ENSG00000262660.1,0.6015758767657555,0.0004867264923607029,5.591513944239755
ENSG00000187514.16,0.2841590260640876,0.0004887750546517348,5.61504782783913
ENSG00000119686.9,-0.3937232627496221,0.0004988484771584372,5.730771305596127
ENSG00000060762.18,0.35008512083648036,0.0005048188803552723,5.7993592975213675
ENSG00000130204.12,0.5165118134943572,0.0005179225521326655,5.949894278900062
ENSG00000232284.7,-0.6484803640795773,0.0005330980138615207,6.12422998324115
ENSG00000145494.11,0.3347585579363752,0.0005367298967887543,6.165953054309209
ENSG00000180011.6,-0.37696446114973137,0.0005406485253985398,6.210970259778425
ENSG00000198515.13,-0.8866567439886981,0.0005440786157924469,6.25037513822363
ENSG00000142864.14,0.2090043289715391,0.0005569640377317343,6.398402865462163
ENSG00000162434.11,0.17070535822027022,0.000561986219561729,6.4560976903251435
ENSG00000153721.18,-0.3289654851548667,0.0005654349036816074,6.495716173494306
ENSG00000165140.9,-0.38682859380180723,0.0005696199028552055,6.543793444000601
ENSG00000278217.1,-0.26228853375330985,0.0005739578066022841,6.5936272822470405
ENSG00000251432.6,-0.44592118212829357,0.0005752338413929526,6.608286369922239
ENSG00000114867.20,0.26434679597675803,0.0005781669434438415,6.64198184628285
ENSG00000168675.18,-0.31590822308206246,0.0005963443510886505,6.850803905306417
ENSG00000204592.8,0.3892480203295259,0.0006126861427167978,7.038538407530573
ENSG00000105738.10,-0.2428759798445519,0.0006220281152771001,7.145858988303326
ENSG00000155926.13,0.620738553878355,0.0006405043446008437,7.358113910774493
ENSG00000189144.13,-0.6261651113788753,0.000653421398139346,7.506505021824807
ENSG00000162545.5,-0.43624941708359266,0.0006535443050234403,7.507916976109281
ENSG00000284605.1,-0.6126937367339931,0.0006615910336930929,7.600357795066252
ENSG00000024526.16,0.9974661484508227,0.0006625697284954949,7.611601040956246
ENSG00000023839.10,-0.5525982276838484,0.0006665133708858788,7.656905604736976
ENSG00000184305.14,-0.19992590596282245,0.0006667397573104143,7.65950633198204
ENSG00000249096.6,0.4509184433027795,0.0006694831446023578,7.691022365191886
ENSG00000121741.16,-0.17274036041339613,0.0006939803682330315,7.972446470261065
ENSG00000144357.16,-0.2132124553922683,0.0007021931399929154,8.066794792238612
ENSG00000198258.10,0.3804042888709738,0.0007060779385896967,8.111423358518435
ENSG00000155324.9,-0.2599465811689212,0.0007111210302418938,8.169358395418877
ENSG00000256612.7,-1.0032874352063952,0.0007210047594319509,8.282902676354253
ENSG00000160654.9,1.0833161798202051,0.0007290420561243416,8.375235140756436
ENSG00000255545.7,-0.5732134602736627,0.0007377367240447791,8.475119485826422
ENSG00000111266.8,-0.2254652169875735,0.0007431875311134721,8.537738357431568
ENSG00000138778.11,0.4691803713847955,0.0007436617217551205,8.543185859522824
ENSG00000159640.15,-1.046046372541182,0.0007497209449744433,8.612794215866405
ENSG00000153246.12,-0.49585429011430193,0.000749764485673194,8.613294411413653
ENSG00000182054.9,0.4212528402324134,0.0007583344758848346,8.71174645896498
ENSG00000121274.12,-0.26483488899227314,0.0007705524213241111,8.852106216171387
ENSG00000069329.16,-0.348365687407691,0.0007731364981936086,8.881792091248174
ENSG00000154153.13,-0.47825107423476254,0.0007888794904415507,9.062647586192535
ENSG00000224259.6,-0.5643058763811402,0.000793542057500801,9.116211156569202
ENSG00000134193.14,0.6291861112380319,0.0007965032904524435,9.150229800717671
ENSG00000072201.13,-0.28149151468910905,0.0007990036549473158,9.178953988034765
ENSG00000265303.1,0.6655516829022838,0.0007991025914133485,9.180090570156548
ENSG00000009950.15,-0.5723026549933716,0.0008028498745175733,9.223139358457882
ENSG00000132530.16,0.39953033671478266,0.0008053892721401919,9.252311958346525
ENSG00000173905.8,-0.3348963227244708,0.0008077757556872618,9.279727881335264
ENSG00000108829.9,0.4480526361311088,0.0008102795430425667,9.308491390473005
ENSG00000110092.3,0.417619222680214,0.0008127000608029832,9.336298298504671
ENSG00000176225.13,0.43523014514205993,0.0008131571441856575,9.341549272404833
ENSG00000196782.12,-0.22956313716659515,0.0008225190461753815,9.449098802462784
ENSG00000285330.1,0.46820232995413,0.0008315629874746676,9.55299560010898
ENSG00000113810.15,0.320027561809928,0.0008474857404020068,9.735916185738255
ENSG00000152778.8,0.6409334335620875,0.000869207094905384,9.985451106273052
ENSG00000165997.4,0.3536225345484483,0.0008717135107041122,10.014244810968842
ENSG00000144381.16,0.33244230361035854,0.0008834810263239846,10.149430030409935
ENSG00000132170.20,-0.37516806547115866,0.0008871754516991011,10.191871589119273
ENSG00000166598.14,0.4480373058619591,0.0008932447344798745,10.261595509704797
ENSG00000188611.14,-0.7090586274577451,0.0008990536533882559,10.328328370124284
ENSG00000216588.8,-0.6496206659276789,0.0009144622679472367,10.505342534177855
ENSG00000155287.10,0.5663099985609383,0.0009177214083496046,10.542783539120258
ENSG00000100297.15,0.8292640759535281,0.0009198044593608252,10.56671362913716
ENSG00000185880.12,0.5059308154146178,0.0009231410715358762,10.605044629804146
ENSG00000147853.16,-0.17539544833716025,0.0009238299582741611,10.612958560653563
ENSG00000101596.15,0.17113690807685078,0.0009368916227270223,10.763010961888032
ENSG00000069535.13,-0.3917855756111779,0.0009571574694346919,10.99582500886574
ENSG00000074800.14,0.3736872120722001,0.0009640704699326404,11.075241558586173
ENSG00000161813.21,0.258430649725387,0.0009756611827759082,11.208395667729633
ENSG00000005801.16,0.4108257951020673,0.0009799632392012993,11.257817691944526
ENSG00000112818.9,-0.38287094975459723,0.0009802316939052035,11.260901699582979
ENSG00000138376.10,0.34475501070795733,0.000982572221287516,11.287789678150984
ENSG00000110245.11,-0.9093944269304837,0.0009909482329833513,11.38401330051274
ENSG00000109819.8,-0.4931987380898635,0.0010276961272816677,11.806173110211798
ENSG00000035664.11,-0.23547021421315506,0.0010381099328371356,11.925806908433014
ENSG00000151746.13,0.36446483301440935,0.0010429108348280263,11.980959670504367
ENSG00000196504.15,0.16228504363304186,0.001051107625472583,12.075124401429033
ENSG00000088926.13,-0.7361653423817236,0.0010767587283301923,12.36980427105725
ENSG00000162989.4,-0.28384514020403984,0.001078981441846747,12.395338803935429
ENSG00000151687.14,-0.28167337821785576,0.0011036179361789045,12.678362850823255
