Sample_ID,COND,scvi_00,scvi_01,scvi_02,scvi_03,scvi_04,scvi_05,scvi_06,scvi_07,scvi_08,scvi_09,scvi_10,scvi_11,scvi_12,scvi_13,scvi_14,scvi_15,scvi_16,scvi_17,scvi_18,scvi_19,scvi_20,scvi_21,scvi_22,scvi_23,scvi_24,scvi_25,scvi_26,scvi_27,scvi_28,scvi_29,subtype
T1D-170,T1D,0.26178858,0.12478113,0.39509022,0.50965136,0.3239339,0.4631423,-0.11615824,-0.96572506,0.6028732,-0.04746053,-0.3072292,-0.39644378,-0.34792095,0.011608893,0.3829556,0.6773408,-1.2618835,-0.07622147,0.37789592,-0.19410817,0.26587155,-0.5143634,0.010028905,0.1814504,-0.5926228,-0.059380513,0.14261231,-0.844313,0.1961682,0.013301015,Subtype_4
T1D-174,T1D,0.18965362,-0.1610217,0.09341818,1.2846338,-0.6302247,0.47247148,-0.50399595,-1.0268975,0.80101764,-0.032071274,0.6785969,0.5426193,0.44185454,0.7012276,1.3722847,-0.5632506,0.14749277,-0.45738477,0.4492464,0.36930823,0.03804817,-0.12983574,-0.5080654,-0.3007192,-0.34052563,0.1812793,-0.36400732,-0.059439287,-0.361282,0.423289,Subtype_1
T1D-2,T1D,-0.5358798,0.44386446,0.6193637,0.29936355,-0.006945483,-0.2139789,-0.36930135,0.09254367,-0.5796521,0.23472196,0.21969926,0.20415697,-0.3929613,0.42607743,-0.54656804,0.6676828,-0.71038777,0.031247776,-0.025295671,0.01859207,0.0949985,-0.4890906,0.30616125,0.29057223,0.20640299,-0.44198772,0.09023381,-0.71597314,-0.20774096,0.39102635,Subtype_4
T1D-21,T1D,-0.5779307,-0.23110288,0.4762149,0.0104007935,-0.07836642,-0.57650644,-0.18831117,-0.12311621,0.26631063,0.19796531,-0.6181808,-0.18429425,-0.39478087,1.0036498,0.24306512,0.3282721,-0.46116772,-0.39930162,-0.1680411,0.22911015,-0.44886878,-0.25193092,0.2604397,-0.44146672,0.2688845,-0.67319125,0.059613276,-0.10222127,-0.39508098,-0.3630725,Subtype_4
T1D-25,T1D,0.0050543807,-0.08872657,-0.33796626,-0.29069713,-0.23639752,-0.008226889,-0.57165444,-0.17728715,-1.174863,-0.3133449,-0.3467663,0.25162992,0.20978141,-0.16388771,-0.13974886,0.6665255,-0.11559416,0.99861336,-0.2541103,-0.35776094,0.071402304,0.4658892,0.7567315,0.26454753,-1.1704285,-0.40767547,0.5699618,-0.46631607,0.040908363,-0.22941115,Subtype_4
T1D-28,T1D,0.3232957,0.71932805,0.57527566,0.060606122,0.6068698,-0.45500568,-0.0799009,0.32041126,-0.084856346,-0.643139,-0.31880966,0.070655495,-0.38427052,0.36211205,-0.2148403,0.035544787,-0.18308662,-0.105873495,-0.006738095,-0.6703596,0.3770899,-0.26386815,0.44021216,-0.060593545,0.32494465,-0.8374572,0.074573696,-0.34777233,-0.10793288,0.13899097,Subtype_4
T1D-29,T1D,0.37817547,0.14733621,-0.30866212,0.4458934,-0.62012064,-0.5127842,0.11254278,0.197675,0.032962855,0.7475131,-0.47270545,0.29454422,0.75039387,-0.39224255,-0.17332967,-0.60446054,-0.44399494,-0.6256412,-0.5084387,-0.53873426,0.27262333,-0.11506744,-0.16992852,-0.21817748,0.054983065,-0.5122996,-0.04970013,-0.44434288,0.15471771,-0.14227897,Subtype_4
T1D-37,T1D,0.024451444,0.6655974,0.05105595,-0.8377836,0.024889534,-0.70360255,0.50092155,0.88060015,0.47732377,0.06627327,-0.30533275,0.050733715,-0.20137763,0.49538735,-0.25501463,0.017258765,-0.098465994,0.2848926,0.16593592,-0.28409904,-0.07843303,0.72418684,-0.07304549,0.36597547,0.3043441,0.3594877,-0.6865343,1.1138229,-0.5852184,0.48821518,Subtype_2
T1D-39,T1D,0.08268619,0.050586917,0.43381587,-0.6922415,-0.08504915,-0.58862233,0.16976175,0.7971183,-0.80609214,-0.46918046,-0.15265629,-0.09931676,-0.28796816,0.32783213,-0.45035166,0.025045976,0.2834898,0.30613226,0.54177815,-0.22753018,0.1563253,0.42181286,-0.33617976,0.75171405,0.10509985,0.12860394,-0.8075602,0.51445544,-0.14315532,0.18649957,Subtype_2
T1D-42,T1D,0.020836556,0.100097746,-0.25299233,-0.38344678,0.21544948,-0.6076582,-0.28119645,0.7575304,-0.0063724965,0.12959675,-0.48830646,-0.16480504,-0.015628647,-0.28556603,-0.4915671,0.09582061,-0.26511124,0.16048467,0.09645874,-0.10507196,0.036024053,0.6030701,-0.06316558,0.32326162,-0.17915061,-0.12630579,-0.048868816,0.9296907,-0.35688302,0.2723308,Subtype_2
