Sample_ID,COND,scvi_00,scvi_01,scvi_02,scvi_03,scvi_04,scvi_05,scvi_06,scvi_07,scvi_08,scvi_09,scvi_10,scvi_11,scvi_12,scvi_13,scvi_14,scvi_15,scvi_16,scvi_17,scvi_18,scvi_19,scvi_20,scvi_21,scvi_22,scvi_23,scvi_24,scvi_25,scvi_26,scvi_27,scvi_28,scvi_29
H-64,H,0.5455054,-0.6451859,-0.77100164,-0.032876417,-0.81480217,-0.22835918,-0.0556109,0.16536577,0.6303437,-0.34726042,1.4757643,0.26852915,0.107890524,0.10199606,0.5739019,-0.3699157,1.0922915,-0.22567612,-0.25177878,0.48541602,-0.60161656,0.43613082,0.1697819,-0.23178563,0.08558009,0.123891346,-0.30793628,-0.76344097,-1.0562718,0.7781503
H-65,H,0.17756613,-0.8356611,-0.05437265,-0.18049894,-0.33658534,-0.83342713,-0.34370166,-0.6214505,0.6083722,0.14586855,0.44362596,-0.22839724,0.633712,-0.004877589,0.2687316,-0.17607741,-0.65505505,0.1196729,-0.36272016,0.08609756,-1.10224,-0.20912874,0.41431865,0.42984477,0.05772723,0.26653937,-0.5128248,-0.7310096,0.2535724,0.025637459
H-66,H,0.4484072,-1.6658245,-0.14280877,-1.4375323,-0.39181253,-0.50418735,-0.016730227,0.11430567,0.54243845,-0.21583577,0.024671124,-0.13772207,-0.39997143,0.05117418,-0.34132195,-0.31093273,0.26100212,0.022497265,-0.73063505,-0.1854048,0.59726363,0.37204838,-0.7692653,-0.5540757,-0.26622805,0.49100927,0.34476548,-0.5798223,-0.4478902,0.052697565
H-68,H,0.82072735,-1.4883155,0.5173883,-0.82257605,-0.3036355,-0.6125869,-0.16870245,0.47973573,0.42372665,-0.07592413,0.07117491,-0.13329725,0.15209018,0.17274433,0.16529451,0.7147275,0.12243078,-0.38694522,-0.43758848,0.034232896,-0.122236006,0.07484284,-0.17756064,-0.07598165,-0.6342917,0.6868034,-0.14514676,-1.2864311,-0.19864924,0.22752662
H-69,H,0.35444912,-1.5788834,0.41536152,-1.0892355,-0.4550257,-0.7055776,-0.122827135,0.07651038,0.54486334,-0.3396404,-0.09807209,-0.21994391,-0.03959932,0.09421735,0.1257074,0.44877177,0.41617334,-0.35616276,-0.65716344,0.04603894,0.48433623,0.093002506,-0.13612211,-0.112533994,-0.8299589,0.13389951,0.15538257,-0.7450451,-0.1786988,-0.23507516
H-7,H,0.36503857,0.47545764,0.15196505,-0.7456997,-0.791101,-0.18856086,-0.3275366,-0.12041377,0.349778,0.10055322,-0.92921364,-0.42870963,0.26239818,-0.2874052,0.098010056,-0.484236,0.13019483,0.13894218,-0.23850727,-0.4627397,0.14105375,0.024386387,-0.19329315,-0.37772706,0.28535685,0.38067445,0.33586076,-0.7308553,0.10176492,0.23289785
T1D-1,T1D,-0.04959525,0.044879947,-0.057548244,0.55091214,0.9616553,0.06346519,-0.25248134,0.2644911,-0.7116727,0.3974775,-0.22321878,1.0036455,-0.06879621,0.14803046,0.020349653,-0.1334931,0.70507216,-0.3165137,-0.2694426,0.019773226,0.017941022,-0.030620225,-0.28513268,-0.6999489,-0.33928788,0.3925866,-0.28244427,-0.21222667,0.37501618,0.20809084
T1D-102,T1D,-0.3718323,-0.7098304,-0.035574548,0.22285351,0.5696564,0.1496794,0.5198065,-0.22676472,-0.7303187,0.4824972,0.25447896,-0.005588405,0.5186295,0.7585426,0.30759957,-0.07749546,-0.19165255,-0.39076433,-0.084530145,-0.040065378,0.3452066,-0.1806507,0.302107,0.44951886,-0.43562645,-1.1037755,0.70304596,0.06269524,0.696874,0.23460041
T1D-104,T1D,-0.008119354,0.021815704,0.6899275,-0.567288,1.2247977,-0.47461283,0.5080862,-0.62416637,-0.77859193,0.607362,-0.50940394,0.36043966,0.30867758,0.042095903,-0.27421176,0.017072406,-0.80475295,0.47441936,-0.7247649,-0.12568608,0.52301383,0.5404638,0.10796046,-0.12870128,-0.25087973,0.1260283,0.5410545,0.01887454,0.57936954,-0.1773987
T1D-106,T1D,0.13376631,0.15360005,0.3391084,-0.28118595,1.0371003,0.17969158,-0.03488589,-0.62278455,-0.9434733,-0.14999786,0.022935543,0.16327412,-0.17068192,0.31179777,0.23441131,0.207355,-0.23981687,-0.123214684,-0.25384185,-0.009318433,0.6519302,-0.056594037,0.13660172,0.113095984,0.059709284,-0.4051545,-0.17935555,0.90899044,0.23908448,0.24623576
T1D-118,T1D,0.94622535,0.26337865,0.63712287,0.29554042,0.8147789,-0.42599025,0.644182,0.026250666,-0.27568498,-0.40318093,-0.5640554,0.3498613,1.0605059,0.017534884,0.07886165,0.35079122,-1.7829592,0.5794915,-0.18278827,-0.6719036,-0.27429697,0.28573832,0.32269183,-0.20159666,-0.6447322,0.23158641,-0.3165533,-0.009843716,0.12492613,-0.18026456
T1D-12,T1D,0.22388932,-0.105394304,-0.4992404,0.37377405,0.3245247,0.5071371,0.20081069,0.74310297,0.41614714,-0.8066355,-0.020819148,0.6512503,0.05710048,-0.4158505,-0.28367174,0.02126651,-0.90158975,0.37167838,0.43121722,0.025573855,0.058399476,-0.11167491,0.209903,0.023584023,-0.14810659,0.07273176,-0.26505607,0.27325934,-0.090338424,-0.39016503
T1D-121,T1D,0.34974384,0.43595472,-0.19068968,0.5796976,0.30138838,0.2765901,-0.17400289,0.3226511,-0.14103349,0.3843353,-0.58529544,0.34073892,-0.57034177,0.2218258,0.10931428,-0.62578225,0.4447632,0.11651323,-0.39943194,-0.014665867,-0.024095776,0.024521785,0.03207288,-0.1267818,0.18925238,0.21514732,0.47405747,-0.33682987,-0.7906524,-0.121001944
T1D-124,T1D,0.9656924,0.516396,0.48940012,-0.2512914,0.8202827,-0.685571,0.16983482,-0.072747976,-0.07383704,0.025753234,-1.2899791,-0.014201977,-0.08581278,-0.70370203,-0.045544058,0.3363297,-0.48551026,0.6178241,-0.07460957,-0.32391194,0.06019624,0.32007137,-0.081918925,-0.66539896,-0.634613,0.97051203,0.33335465,-0.15105532,-0.37087005,0.020469846
T1D-127,T1D,0.4724817,-0.15274452,0.055762783,0.5650019,1.1605594,-0.82900697,-0.91723204,0.0010086155,0.4192303,0.12413885,0.047588,0.005425019,0.18107983,0.02486981,0.32291794,0.21894158,0.8528428,-0.76277596,-0.2034046,0.016170645,-0.2611053,0.20178884,0.42530373,0.26826012,-0.3265348,0.32158053,-0.8606813,-0.13141988,0.26661083,-0.0554893
T1D-129,T1D,0.3169525,0.12644726,-0.32797068,0.39685872,0.1714642,0.45151246,0.99812,0.5420939,-0.5315708,-0.008227696,0.31527513,0.20688722,0.27724496,0.29571518,0.2272019,-0.20946012,-0.4789082,-0.031004021,0.4746951,0.0925392,-0.54035336,-0.23861846,0.0684417,0.25677562,-0.3921791,-0.8093775,-0.07167166,0.44521213,-0.42479587,-0.6867805
T1D-132,T1D,-0.45710647,0.74501026,0.50458425,-0.5796707,1.2258271,-1.2967274,-1.0413966,-0.8780772,0.24533343,0.26549664,0.0074695894,-0.17254029,0.56006896,-0.6210043,0.79024374,-0.038958985,1.0194135,0.21572456,0.73672163,0.054659486,0.47271553,-0.118500024,0.59980714,0.0836702,0.02450101,-0.25091663,0.27397573,-0.9965806,-0.6569341,0.5563367
T1D-135,T1D,0.20420246,-0.025317594,-0.13428672,0.644468,-0.034084927,0.11506169,0.17382601,0.7357293,0.43829474,0.62421936,-0.44117996,0.42717668,-0.14287472,-0.52352107,0.38690266,-0.056635898,0.8278881,-0.5358893,0.11754931,-0.3858397,0.16109268,-0.17034422,-0.4494302,-0.28378782,-0.20541401,0.3178894,0.28437704,-0.56090486,-0.6068537,-0.15063949
T1D-137,T1D,0.45767114,0.15278721,-0.5224026,0.2946202,0.6391686,-0.03806091,0.105121136,0.6094382,0.21018526,-0.20932238,0.018180614,0.6600116,-0.18549666,-0.6113097,0.09809309,0.20076142,-0.14546594,0.29577413,0.82535094,-0.042165726,-0.25490063,-0.19077678,0.20439206,0.12855442,-0.020743828,-0.1981983,-0.160661,-0.11422383,-0.99381274,-0.47120228
T1D-139,T1D,0.42356372,0.14637959,-0.58807594,0.12828694,0.5428937,0.13151066,0.15571102,0.455865,0.46022722,0.0951908,-0.26089448,-0.26782522,-0.10231924,-0.4348537,0.24353383,-0.12086703,-0.33735847,0.21287239,1.0907836,-0.045136314,-0.19191147,-0.0884952,0.19902031,0.16922009,-0.14930819,-0.09541202,-0.048925057,0.25274095,-0.9124918,-0.24191101
T1D-14,T1D,-0.43337074,0.29630738,-0.12751937,-0.42756867,-0.97177184,0.56389004,0.38222572,0.6974398,0.8626555,0.19789809,0.038341004,0.21403173,0.13888289,0.09946749,0.21382788,0.28454262,-0.05831365,-0.098793834,0.4615769,-0.459419,0.23159665,0.011668446,-0.008986239,-0.070218936,0.62932664,0.07178857,0.12700659,-0.33816695,-0.0004761113,0.40189427
T1D-140,T1D,-0.17250395,0.341105,-0.7241511,0.09340619,-0.07759139,0.68489534,1.2510998,0.24359687,-0.07752494,-0.15245362,0.8696644,0.46455684,-0.2822867,0.45170692,0.81314284,-0.118126325,0.19991782,-0.3197949,0.7950852,0.4859987,-0.2390972,0.25210184,0.17426701,0.6552711,0.29275423,-0.883587,-0.50869554,0.012770112,-0.42689195,-0.42410102
T1D-141,T1D,-0.7084618,0.17289157,0.29649356,0.13028799,1.5112933,-0.5586629,-0.73183835,-0.31524208,-0.012508238,0.13353524,-0.13149142,0.4314011,-0.036942765,0.45417643,-0.0076152687,0.056754276,0.79448515,-0.6924013,-0.2911656,-0.1516031,-0.55586576,-0.09392194,0.43947917,-0.07971921,0.31354412,0.0033711083,-0.06976556,-0.80876005,-0.056145087,0.17376496
T1D-142,T1D,-0.2191178,0.30567086,-0.55900437,-0.1676336,0.7635246,0.24146679,0.19002351,0.69017273,-0.98896825,-0.12339878,-0.59827006,-0.34961617,0.31947353,-0.17007823,0.07615145,-0.16182452,-0.49125776,0.13496584,-0.03857593,-0.6092278,-0.116965614,-0.44471246,-0.23340525,-0.1799099,-0.044373527,0.34331775,0.10011948,-0.37075287,-0.47767293,-0.17421532
