Sample_ID,COND,scvi_00,scvi_01,scvi_02,scvi_03,scvi_04,scvi_05,scvi_06,scvi_07,scvi_08,scvi_09,scvi_10,scvi_11,scvi_12,scvi_13,scvi_14,scvi_15,scvi_16,scvi_17,scvi_18,scvi_19,scvi_20,scvi_21,scvi_22,scvi_23,scvi_24,scvi_25,scvi_26,scvi_27,scvi_28,scvi_29,subtype
T1D-29,T1D,0.041999515,0.13644542,-0.5019168,0.21158758,-0.047395464,0.39549902,0.26985803,0.34807694,0.3390241,-0.2251353,-0.47678044,0.30221257,-0.99438375,-0.6022388,-0.82209194,0.20608345,0.43406215,0.16569108,0.1585314,0.35612187,-0.26446125,-0.007913266,0.047367036,-0.43893585,-0.033245523,0.7561594,-0.36595917,0.06460039,-0.024831545,-0.059112374,Subtype_1
T1D-37,T1D,0.043426305,-0.51982886,1.1908236,0.32543197,-0.83731586,-0.17914367,-0.6613515,-0.9818048,-0.25799254,0.22695811,-0.29496095,-0.25990131,-0.27791283,0.0154322395,0.18867704,0.8645097,0.44641364,-0.52255636,-0.45162457,0.7363582,0.5402479,0.12733261,0.31820866,-0.33562875,0.41016427,-0.18684429,-0.35752472,0.043484718,0.6019451,0.0521701,Subtype_2
T1D-39,T1D,0.022750162,0.040036652,1.2310425,0.77943105,-0.90030026,0.047863744,-0.80340195,-0.62842554,-0.031548634,-0.40827534,0.12550986,-0.018742245,0.18669944,0.13258551,-0.23055346,0.40973383,-0.30793655,0.31671193,0.10297408,0.268512,0.3447695,0.066637285,0.19408724,0.021482674,-0.27014264,-0.5293564,-0.4361124,0.14384553,0.42636338,-0.2045525,Subtype_2
T1D-42,T1D,-0.19942237,0.013644781,1.0024751,0.31416208,-0.732907,-0.22562423,-0.72389483,-0.38262644,0.37293267,0.03938758,-0.3999484,-0.11477757,-0.18216857,-0.44773325,-0.056727946,0.1512695,0.6283319,-0.18663266,-0.52409625,-0.15366498,0.35099712,-0.03451582,-0.0251904,-0.11410561,0.08065282,-0.1169789,-0.13352825,-0.0915147,0.3674027,-0.0026087167,Subtype_2
T1D-44,T1D,-0.18748072,0.3812571,0.8071094,-0.18260191,-0.9354515,-0.34945378,-0.8768177,-0.827516,0.15457475,0.2638489,-0.14362974,-0.4223469,1.0137967,-0.4989019,0.37422192,-0.577842,0.72994065,-0.07191963,-0.5116196,0.23540322,-0.58527976,0.14985482,0.05925906,0.42517456,-0.6294831,-0.5292343,-0.03158831,-0.49861014,0.3400375,0.2297269,Subtype_2
T1D-52,T1D,0.44786885,0.06556474,0.5105426,0.798449,-0.37663603,-0.21093525,-0.28256384,-0.18400548,0.7424801,-0.23020406,0.10673975,0.19126928,-0.08478777,-0.3491836,-0.13840026,0.15612392,-0.48154444,0.70170295,0.27649888,0.17417735,0.65500987,-0.15606105,-0.12277088,0.10174734,-0.10276503,-0.12235916,-0.032001343,0.4588183,0.09767801,-0.31667113,Subtype_2
T1D-61,T1D,0.15882866,-0.024212662,0.556344,0.56232595,-0.5130551,-0.065123454,-0.01886015,-0.111930266,-0.1122537,-0.20314483,-0.5832796,-0.22291525,-0.67889297,-0.28362674,-0.24282858,-0.38999218,0.37510508,-0.021682482,-0.37110722,-0.2002924,0.11660218,-0.05137935,-0.48046184,-0.43434873,-0.39476815,0.1415825,-0.11663167,0.11054855,0.01023503,-0.39917028,Subtype_2
T1D-73,T1D,-0.050971173,-0.50794715,-0.12638701,-0.16783626,-1.1045605,0.7391891,-0.2237395,0.27751237,0.61468023,0.1734058,-0.33505577,-0.23915493,0.21490261,-0.060819395,0.07191665,-0.23205939,-0.8312913,0.12439868,0.50329804,0.16051573,0.73319036,0.22846347,0.17342202,-0.19826885,-0.13888454,0.40806323,0.31449708,-0.4740905,0.45457256,0.41144365,Subtype_1
T1D-79,T1D,-0.042076092,-0.15299724,-0.215351,-0.4445639,-1.0933545,0.3243051,0.4681659,0.27276018,0.79341197,0.24707091,0.27838624,-0.16059457,-0.07781587,-0.029287959,-0.258368,-0.14941351,0.28570613,0.16671912,0.78797233,0.3447146,0.31563112,0.31948504,0.041190565,0.7497533,0.46795774,-0.32113415,-0.10733367,0.010732392,0.22549276,-0.13503964,Subtype_1
T1D-8,T1D,0.23268351,0.79684573,0.40495276,-0.073621586,-1.2604715,0.044318244,-0.32153058,-0.31116024,0.06824121,-0.13022122,-0.41809133,-0.24845168,0.49478897,0.0790479,0.63184834,-0.1323634,0.4565812,0.5838515,-0.13391604,-0.16243447,-0.021618335,-0.23364447,-1.0669066,-0.91026706,0.2815368,0.6139376,-0.052118964,-0.14007783,0.48125342,1.0405707,Subtype_2
T1D-82,T1D,0.21511589,0.15911151,0.64149386,-0.24490243,-0.09924347,-0.064580426,-0.18119754,-0.37857398,0.3687123,0.008778013,-0.13323405,-0.14635238,-0.084618725,-0.60221803,-0.28585717,-0.81180114,-0.45355794,0.2805702,-0.15583327,-0.22937186,0.2863146,0.06660984,0.2396793,0.36426163,1.2159106,-0.14827108,0.17310397,0.504065,0.27115062,-0.48433983,Subtype_2
T1D-86,T1D,0.115328275,0.3952929,0.93704075,-0.31211543,-0.19753207,-0.20111892,-0.34172085,-0.6247279,0.19216572,0.010316666,-0.17732137,-0.22738178,0.18421541,-0.5669879,-0.21465209,-0.5367342,-0.43492043,0.31965756,-0.2593272,-0.17240342,0.31212828,0.1457383,0.67489266,0.53809583,1.2228417,-0.17209521,0.18677826,0.3136179,0.13720103,-0.35587335,Subtype_2
T1D-87,T1D,0.5093498,0.14346667,-0.068754755,0.059400752,1.4219159,-0.76246655,-0.15765448,-0.51716304,-0.34419638,-0.78914315,0.66828144,0.07841361,0.25330156,0.1506852,-0.23990466,-0.207403,0.43940532,0.05662992,0.37364858,-0.24464767,-0.39854527,0.15033703,0.16379903,0.17717002,0.44877803,-0.6052402,-0.6287074,0.49129617,0.09128528,-0.17025486,Subtype_2
T1D-88,T1D,0.29331118,-0.6352446,-0.7681625,-0.3950301,-0.2613434,0.1027339,0.8972516,-0.04224459,0.06624446,-0.100958206,1.2787335,0.27628273,0.057651002,0.46241838,0.21586521,-0.6641414,-1.1689872,0.40382898,-1.0360126,-0.107779615,0.27553484,-0.5163779,-0.5124677,-0.25241742,0.25249514,-0.13834675,-0.17032844,-0.7608872,0.20284623,0.7073364,Subtype_3
T1D-93,T1D,-0.7522827,-0.110714726,-0.4945231,-0.28671226,0.7668158,0.44560558,0.3936138,-0.17069656,-0.50337857,0.22344987,0.36038965,0.633608,0.49250874,0.4306994,0.3833265,-0.21308678,-0.29117802,-0.09842085,-0.07156519,0.22592135,0.69103986,0.15273811,0.02608973,0.40351155,0.41560915,-0.33564183,0.48126256,0.09129119,0.2427313,-0.06485821,Subtype_3
T1D-96,T1D,-0.2284295,0.012023277,0.71802235,-0.80573773,1.2582655,-0.72973114,0.34203088,-0.65557367,-1.2553362,0.46754256,-0.24654283,0.578492,0.2934675,0.09395765,-0.04077709,0.023730794,-0.5367743,0.52619386,-0.5986506,-0.37363848,0.14485031,0.59318525,-0.010354074,-0.22098456,0.13265835,0.19624472,0.81129426,0.4063369,0.3621655,-0.085401125,Subtype_4
T1D-97,T1D,-0.13600986,-0.5019458,-0.39425415,-0.35899597,0.53116935,-0.39949313,0.3593876,-0.22265285,-1.105382,0.04400616,0.0050377836,0.63476205,0.16756001,0.13212621,-0.3438295,0.7027864,0.27375358,0.12696753,0.49224135,-0.04784942,0.29053178,-0.090223424,-0.11334072,0.28828064,-0.09943199,-0.28162512,-0.11621275,-0.73977053,0.26587945,0.069175504,Subtype_3
T1D-98,T1D,-0.27797654,-0.02853128,0.32535964,-0.08746874,0.75775075,0.099381834,0.2928715,-0.5803628,-0.7282497,0.0029923604,-0.27836737,0.545871,0.4053408,0.066016965,-0.23869364,0.2856917,-0.33409867,0.13602611,-0.12276423,-0.018700613,0.7965647,-0.12880975,-0.25627837,-0.2626148,0.06465959,-0.31341404,-0.05451083,-0.12849934,0.48962495,0.07283835,Subtype_3
